Wed Mar 16 15:18:41 2022    profiler/output.dat

         469879 function calls (466261 primitive calls) in 2.484 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.001    0.000    0.007    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
       44    0.000    0.000    0.017    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
       43    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:221(dirname)
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:44(normcase)
       42    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       41    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:209(__init__)
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:413(<listcomp>)
       40    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_compile.py:411(_mk_bitmap)
       40    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       39    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:61(isabs)
       38    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4230(__init__)
       36    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2367(_is_unpacked_egg)
       36    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\__init__.py:2763(_get_metadata)
    36/11    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3743(leaveWhitespace)
       36    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3781(__str__)
       35    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\sre_parse.py:258(getwhile)
